tri,taille,cas,plage,temps
comptage,3000,decroissant,grande,0.000030
fusion,3000,decroissant,grande,0.000360
rapide,3000,decroissant,grande,0.000164
bulle_basique,3000,constant,grande,0.018335
bulle_basique_v2,3000,constant,grande,0.009190
bulle_optimise,3000,constant,grande,0.000006
cocktail,3000,constant,grande,0.000014
selection,3000,constant,grande,0.009243
insertion,3000,constant,grande,0.000011
comptage,3000,constant,grande,0.000378
fusion,3000,constant,grande,0.000342
rapide,3000,constant,grande,0.015618
bulle_basique,5000,aleatoire,petite,0.075226
bulle_basique_v2,5000,aleatoire,petite,0.048217
bulle_optimise,5000,aleatoire,petite,0.048433
cocktail,5000,aleatoire,petite,0.037764
selection,5000,aleatoire,petite,0.025795
insertion,5000,aleatoire,petite,0.013130
comptage,5000,aleatoire,petite,0.000031
fusion,5000,aleatoire,petite,0.000936
rapide,5000,aleatoire,petite,0.002389
bulle_basique,5000,croissant,petite,0.050883
bulle_basique_v2,5000,croissant,petite,0.025479
bulle_optimise,5000,croissant,petite,0.000012
cocktail,5000,croissant,petite,0.000020
selection,5000,croissant,petite,0.025596
insertion,5000,croissant,petite,0.000018
comptage,5000,croissant,petite,0.000053
fusion,5000,croissant,petite,0.000579
rapide,5000,croissant,petite,0.000208
bulle_basique,5000,decroissant,petite,0.070710
bulle_basique_v2,5000,decroissant,petite,0.047383
bulle_optimise,5000,decroissant,petite,0.047270
cocktail,5000,decroissant,petite,0.045213
selection,5000,decroissant,petite,0.028763
insertion,5000,decroissant,petite,0.027470
comptage,5000,decroissant,petite,0.000059
fusion,5000,decroissant,petite,0.000604
rapide,5000,decroissant,petite,0.000273
bulle_basique,5000,constant,petite,0.050884
bulle_basique_v2,5000,constant,petite,0.025548
bulle_optimise,5000,constant,petite,0.000011
cocktail,5000,constant,petite,0.000021
selection,5000,constant,petite,0.025626
insertion,5000,constant,petite,0.000018
comptage,5000,constant,petite,0.000036
fusion,5000,constant,petite,0.000603
rapide,5000,constant,petite,0.043296
